CB NO,RACE,SEX,AGE,STATUTE,STATUTE DESCRIPTION,ARREST DATE,ARREST TIME,ARREST BEAT,STATUTE TAG
18310765,BLK,M,27,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Jan-12,40,624,Possess 2.5g-10g
18310841,BLK,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Jan-12,210,413,Possess <2.5g
18311108,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Jan-12,1445,611,Possess 2.5g-10g
18311118,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Jan-12,1535,634,Possess 2.5g-10g
18311129,BLK,M,29,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Jan-12,1545,723,Possess 2.5g-10g
18311133,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Jan-12,1600,324,Possess 2.5g-10g
18311137,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Jan-12,1600,1532,Possess 2.5g-10g
18311141,BLK,M,43,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Jan-12,1600,1532,Possess 2.5g-10g
18311150,BLK,M,36,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Jan-12,1639,1532,Possess <2.5g
18311239,BLK,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Jan-12,1845,321,Possess <2.5g
18311226,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Jan-12,1850,2234,Possess 2.5g-10g
18311229,BLK,M,36,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Jan-12,1854,414,Possess <2.5g
18311246,WWH,M,29,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Jan-12,1858,811,Possess 2.5g-10g
18311244,BLK,M,25,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Jan-12,1915,734,Possess 2.5g-10g
18311254,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Jan-12,1940,2531,Possess <2.5g
18311262,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Jan-12,2000,1522,Possess 2.5g-10g
18311302,WWH,M,26,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,1-Jan-12,2025,913,Possess <2.5g
18311296,WWH,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Jan-12,2030,1324,Possess 2.5g-10g
18311329,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Jan-12,2153,522,Possess 2.5g-10g
18311338,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,1-Jan-12,2200,414,Possess 2.5g-10g
